start_date,end_date,Type,Subtype,description,region_name,Condition,ID,Outside of Greece,latitude,longitude,Latitude,Longitude
458,458,Relations,Alliance,Religiously based promise not to transgress,Delphi,Mostly intact,I3-9,,38.482289,22.501169
450,450,Relations,Alliance,Explicit Alliance ,Segesta,Fragmentary,I3-11,Sicily,37.940316, 12.8361805
433,433,Relations,Alliance,Explicit Alliance ,Halicyae,Fragmentary,I3-12,Sicily,37.817, 12.808862
451,451,Honorary,Collective Honour,  Broad honours for Sigeians paid by them  ,Sigeion,Fragmentary,I3-17,,39.9835305,26.180869
450,450,Honorary,Individual Honour,Honours Proxenoi,Parion,Fragmentary,I3-18,,36.9128820569, 35.6661718923
447,447,Honorary,Proxenos,Thalykides and Menestratos and Athenaios are awarded proxeny status,Thespiai,Mostly intact,I3-23,,38.29452615,23.15236318
450,450,Honorary,Proxenos,Awards status of proxenos to a man from Delphi,Delphi,Fragmentary,I3-27,,38.482289,22.501169
450,440,Honorary,Proxenos,  Uncertain whether it pertains to Abydos bestowing proxeny status  ,Abydos,Fragmentary,I3-28,,40.19421564,26.41131276
450,450,Honorary,Individual Honour,Very fragmented decree honouring a Theran.,Thera,Fragmentary,I3-30,,36.36327919,25.4784303
450,450,Relations,Alliance,Decree about the alliance with Hermione,Hermione,Fragmentary,I3-31,,37.385218, 23.243591
447,447,Relations,Too Fragmented,Decree concerning some kind of settlement foundation with Colophon,Colophon,Fragmentary,I3-37,,38.108253,27.1483085
457,457,Relations,Non Agression,Very fragmented decree mentioning Aigina and non agression,Aigina,Fragmentary,I3-38,,37.750149,23.423668
446,446,relations,Non Agression,Fragmented decree mentioning Eretrians (Euboean) taking oaths not to hurt Athens,Eretria,Fragmentary,I3-39,,38.3999169038, 23.7947210755
446,446,Relations,Non Agression,  In combination with the previous decree oaths and commitments to respect Euboea  ,Chalkis,Mostly intact,I3-40,,38.457139, 23.621937
446,446,Relations,Non Agression,  In combination with the previous decree oaths and commitments to respect Euboea  ,Hestiaia,Fragmentary,I3-41,,38.946604, 23.090527
445,442,Relations,Too Fragmented,Very Fragmentary decree regarding oaths and contracts with Kolophon,Colophon,Fragmentary,I3-42,,38.108253,27.1483085
435,427,Relations,Too Fragmented, Decree honouring Colophon for being  good men  to Athens ,Colophon,Fragmentary,I3-43,,38.108253,27.1483085
439,439,Relations,Alliance,Recriprocal oaths between samos and Athens stating their good disposition,Samos,Fragmentary,I3-48,,37.73246007,26.83912535
433,433,Relations,Alliance,Decree procliaming a successful Alliance between Athens and Rhegion,Rhegion,Fragmentary,I3-53,Sicily,38.109279,15.64393
433,433,Relations,Alliance,Decree procliaming a successful Alliance between Athens and Leontinoi,Leontinoi,Fragmentary,I3-54,Sicily,37.285478,14.998115
431,431,Honorary,Individual Honour,Decree honouring Aristonos of Larisa ,Larisa,Fragmentary,I3-55,,38.964328, 22.838629
424,424,Relations,Non Agression,  Decree regulating panathenaian payments military access and non aggression  ,Methone,Mostly intact,I3-61,,39.3316, 23.0527
428,428,Relations,Alliance,Decree describing the oath which the Aphytians took to defend the Athenians,Aphytis,Mostly intact,I3-62,,40.099366,23.436606
426,426,Relations,Other,Decree elaborating on the alliance with Aphytis allowing for free trade,Aphytis,Fragmentary,I3-63,,40.099366,23.436606
427,427,Honorary,Individual Honour,Decree honouring Apollonophanes of Colophon ,Colophon,Fragmentary,I3-65,,38.108253,27.1483085
427,427,Relations,Other,Decree returning land to Mytilene due to them having proven their good disposition,Mytilene,Mostly intact,I3-66,,39.110475,26.547048
427,427,Relations,Non Agression,Decree commiting Mytilene not to support piracy and establishing non aggression,Mytilene,Fragmentary,I3-67,,39.110475,26.547048
